id,image,text,answer
1,./res/img/set2/set2_01.png,,adrian
2,./res/img/set2/set2_02.png,,alton
3,./res/img/set2/set2_03.png,,augusta
4,./res/img/set2/set2_04.png,,baldwin
5,./res/img/set2/set2_05.png,,bethany
6,./res/img/set2/set2_06.png,,buffalo
7,./res/img/set2/set2_07.png,,camden
8,./res/img/set2/set2_08.png,,clayton
9,./res/img/set2/set2_09.png,,colfax
10,./res/img/set2/set2_10.png,,columbus
11,./res/img/set2/set2_11.png,,dexter
12,./res/img/set2/set2_12.png,,eden
13,./res/img/set2/set2_13.png,,fredonia
14,./res/img/set2/set2_14.png,,garfield
15,./res/img/set2/set2_15.png,,hunter
16,./res/img/set2/set2_16.png,,linden
17,./res/img/set2/set2_17.png,,marion
18,./res/img/set2/set2_18.png,,mitchell
19,./res/img/set2/set2_19.png,,osceola
20,./res/img/set2/set2_20.png,,prescott
21,./res/img/set2/set2_21.png,,quitman
22,./res/img/set2/set2_22.png,,randolph
23,./res/img/set2/set2_23.png,,ripley
24,./res/img/set2/set2_24.png,,roscoe
25,./res/img/set2/set2_25.png,,scranton
26,./res/img/set2/set2_26.png,,taylor
27,./res/img/set2/set2_27.png,,utica
28,./res/img/set2/set2_28.png,,wallace
29,./res/img/set2/set2_29.png,,webster
30,./res/img/set2/set2_30.png,,wilson
